SC3CODE,Value
KIR-809,39
KIR-911,10
KIR-912,49
KIR-909,1
KIR-901,64
KIR-906,20
KIR-907,91
KIR-908,65
KIR-910,91
KIR-1204,34
KIR-1203,95
KIR-1201,86
KIR-1202,86
KIR-1205,20
KIR-1301,12
KIR-1302,73
KIR-1303,1
KIR-1304,31
KIR-1305,30
KIR-1306,69
KIR-1307,75
KIR-1308,44
KIR-1309,10
KIR-1310,59
KIR-1311,64
KIR-1312,50
KIR-1401,16
KIR-1402,99
KIR-1403,6
KIR-1404,52
KIR-1405,50
KIR-1707,9
KIR-1706,55
KIR-1705,4
KIR-1704,7
KIR-1601,59
KIR-1602,23
KIR-1603,72
KIR-1604,64
KIR-1605,74
KIR-1606,7
KIR-404,25
KIR-502,80
KIR-503,17
KIR-504,97
KIR-505,94
KIR-511,20
KIR-512,10
KIR-517,29
KIR-518,51
KIR-501,81
KIR-601,51
KIR-602,65
KIR-610,75
KIR-612,78
KIR-613,95
KIR-614,70
KIR-801,88
KIR-810,67
KIR-811,56
KIR-902,65
KIR-903,20
KIR-904,91
KIR-905,49
KIR-1001,4
KIR-1002,46
KIR-1003,65
KIR-1004,97
KIR-1005,0
KIR-1101,79
KIR-1102,62
KIR-1103,87
KIR-1206,30
KIR-1207,28
KIR-1208,20
KIR-1209,90
KIR-1406,77
KIR-1506,37
KIR-1507,66
KIR-1501,74
KIR-2001,75
KIR-2102,17
KIR-2103,67
KIR-2104,100
KIR-2105,51
KIR-2107,74
KIR-2204,60
KIR-2201,32
KIR-2202,31
KIR-2203,81
KIR-2301,19
KIR-1006,5
KIR-102,3
KIR-101,26
KIR-103,100
KIR-308,25
KIR-307,15
KIR-309,85
KIR-609,0
KIR-603,11
KIR-604,41
KIR-803,96
KIR-802,89
KIR-805,4
KIR-804,48
KIR-1702,47
KIR-1703,13
KIR-1701,89
KIR-1508,68
KIR-507,4
KIR-506,95
KIR-508,22
KIR-510,51
KIR-509,18
KIR-514,77
KIR-513,91
KIR-515,85
KIR-516,24
KIR-606,15
KIR-607,90
KIR-608,8
KIR-806,19
KIR-1509,30
KIR-1504,91
KIR-1503,17
KIR-1502,21
KIR-1902,71
KIR-1901,69
KIR-1801,97
KIR-1802,54
KIR-1803,20
KIR-2005,41
KIR-2006,79
KIR-2007,20
KIR-2008,97
KIR-2009,19
KIR-2002,57
KIR-2003,56
KIR-2109,100
KIR-2108,71
KIR-702,20
KIR-703,14
KIR-704,43
KIR-716,62
KIR-705,39
KIR-706,37
KIR-707,81
KIR-708,71
KIR-709,58
KIR-710,88
KIR-711,47
KIR-712,26
KIR-713,59
KIR-714,47
KIR-715,31
KIR-701,84
KIR-306,41
KIR-808,20
KIR-1505,86
KIR-2106,26
MHL-24,46
MHL-17,50
MHL-19,93
MHL-8,58
MHL-13,34
MHL-22,3
MHL-25,4
MHL-21,65
MHL-10,53
MHL-5,93
MHL-7,92
MHL-2,41
MHL-3,44
MHL-4,99
MHL-9,85
MHL-11,56
MHL-12,53
MHL-14,62
MHL-15,64
MHL-16,10
MHL-18,2
MHL-20,82
MHL-26,40
MHL-6,52
MHL-1,41
FSM-304,73
FSM-205,11
FSM-206,2
FSM-207,92
FSM-208,22
FSM-209,2
FSM-210,41
FSM-211,99
FSM-212,18
FSM-213,47
FSM-201,49
FSM-311,73
FSM-202,5
FSM-203,94
FSM-204,76
FSM-214,15
FSM-215,35
FSM-216,37
FSM-401,50
FSM-404,19
FSM-402,43
FSM-403,57
FSM-301,60
FSM-302,97
FSM-303,28
FSM-306,26
FSM-305,64
FSM-108,77
FSM-110,75
FSM-109,27
FSM-103,76
FSM-102,93
FSM-230,30
FSM-231,20
FSM-232,14
FSM-234,12
FSM-235,5
FSM-233,87
FSM-236,55
FSM-237,31
FSM-238,13
FSM-239,56
FSM-240,62
FSM-222,59
FSM-223,63
FSM-104,9
FSM-107,26
FSM-106,55
FSM-101,43
FSM-105,34
FSM-310,74
FSM-308,100
FSM-309,74
FSM-307,81
FSM-228,89
FSM-229,45
FSM-224,14
FSM-217,32
FSM-218,27
FSM-219,30
FSM-220,31
FSM-221,12
FSM-225,21
FSM-226,97
FSM-227,30
FSM-114,27
FSM-115,7
FSM-116,60
FSM-117,89
FSM-118,91
FSM-119,86
FSM-120,81
FSM-111,4
FSM-112,39
FSM-113,30
NRU-01,68
NRU-02,23
NRU-03,18
NRU-04,12
NRU-05,10
NRU-06,66
NRU-07,18
NRU-08,22
NRU-09,10
NRU-13,23
NRU-10,38
NRU-11,63
NRU-12,48
NRU-14,37
NRU-15,80
NCL-11,57
NCL-12,96
NCL-13,0
NCL-21,30
NCL-22,78
NCL-23,69
NCL-24,20
NCL-25,79
NCL-26,48
NCL-27,14
NCL-28,75
NCL-29,86
NCL-210,44
NCL-211,27
NCL-212,63
NCL-213,87
NCL-214,16
NCL-215,64
NCL-216,39
NCL-217,22
NCL-218,55
NCL-31,74
NCL-32,53
NCL-33,76
NCL-34,17
NCL-35,23
NCL-36,85
NCL-37,4
NCL-38,2
NCL-39,39
NCL-310,31
NCL-311,55
NCL-312,88
NCL-313,60
NCL-314,86
NIU-13.0,5
NIU-10.0,5
NIU-5.0,39
NIU-12.0,46
NIU-9.0,75
NIU-6.0,28
NIU-7.0,16
NIU-4.0,17
NIU-14.0,62
NIU-3.0,40
NIU-11.0,78
NIU-2.0,89
NIU-1.0,56
NIU-8.0,97
MNP-206,14
MNP-201,83
MNP-202,75
MNP-204,51
MNP-203,70
MNP-205,17
MNP-207,73
MNP-181,9
MNP-174,71
MNP-109,19
MNP-130,61
MNP-135,16
MNP-148,14
MNP-168,71
MNP-159,21
MNP-132,60
MNP-155,93
MNP-142,16
MNP-161,26
MNP-172,65
MNP-178,2
MNP-115,72
MNP-147,35
MNP-146,24
MNP-106,2
MNP-107,76
MNP-160,90
MNP-112,6
MNP-104,26
MNP-184,61
MNP-144,64
MNP-165,51
MNP-102,43
MNP-151,62
MNP-121,44
MNP-182,34
MNP-140,77
MNP-143,23
MNP-127,24
MNP-166,80
MNP-169,7
MNP-122,99
MNP-134,88
MNP-131,27
MNP-125,37
MNP-116,80
MNP-136,47
MNP-150,80
MNP-114,51
MNP-139,33
MNP-138,16
MNP-118,98
MNP-105,35
MNP-179,7
MNP-152,96
MNP-180,42
MNP-108,89
MNP-171,98
MNP-167,80
MNP-156,84
MNP-133,89
MNP-117,60
MNP-170,90
MNP-110,62
MNP-154,63
MNP-145,42
MNP-119,26
MNP-164,56
MNP-162,80
MNP-177,31
MNP-120,21
MNP-158,18
MNP-173,29
MNP-137,65
MNP-123,62
MNP-124,15
MNP-126,78
MNP-157,7
MNP-141,11
MNP-103,65
MNP-129,8
MNP-341,27
MNP-329,77
MNP-314,21
MNP-309,56
MNP-317,95
MNP-320,90
MNP-301,7
MNP-340,81
MNP-321,33
MNP-306,35
MNP-318,77
MNP-315,72
MNP-312,8
MNP-328,51
MNP-308,48
MNP-330,80
MNP-342,92
MNP-327,19
MNP-338,96
MNP-307,53
MNP-339,46
MNP-324,10
MNP-325,82
MNP-310,96
MNP-326,91
MNP-331,21
MNP-313,95
MNP-333,81
MNP-316,78
MNP-304,19
MNP-332,15
MNP-302,68
MNP-322,37
MNP-335,40
MNP-323,4
MNP-334,73
MNP-305,79
MNP-319,42
MNP-337,89
MNP-336,49
PLW-101,56
PLW-102,48
PLW-103,56
PLW-104,1
PLW-105,22
PLW-201,66
PLW-202,99
PLW-203,72
PLW-204,93
PLW-205,54
PLW-206,39
PLW-301,74
PLW-302,92
PLW-303,84
PLW-304,4
PLW-401,26
PLW-501,76
PLW-502,57
PLW-701,83
PLW-702,31
PLW-703,13
PLW-704,73
PLW-705,12
PLW-706,16
PLW-707,34
PLW-801,66
PLW-802,20
PLW-803,100
PLW-804,20
PLW-805,39
PLW-901,12
PLW-902,90
PLW-903,7
PLW-904,30
PLW-905,70
PLW-906,22
PLW-907,32
PLW-908,59
PLW-1001,76
PLW-1002,61
PLW-1003,83
PLW-1101,17
PLW-1102,17
PLW-1103,4
PLW-1104,5
PLW-1105,13
PLW-1201,59
PLW-1202,26
PLW-1301,71
PLW-1302,81
PLW-1303,2
PLW-1304,94
PLW-1305,4
PLW-1306,80
PLW-1401,95
PLW-1402,61
PLW-1403,2
PLW-1404,70
PLW-1501,22
PLW-1502,86
PLW-1503,16
PLW-1504,60
PLW-1505,37
PLW-1601,41
PLW-612,12
PLW-609,66
PLW-604,44
PLW-607,62
PLW-606,31
PLW-603,3
PLW-605,98
PLW-610,33
PLW-608,72
PLW-601,5
PLW-613,44
PLW-611,36
PLW-614,58
PNG-150416,66
PNG-150412,40
PNG-150414,45
PNG-150104,29
PNG-150102,45
PNG-150207,64
PNG-150308,52
PNG-150205,41
PNG-140103,9
PNG-150206,10
PNG-140101,6
PNG-140104,9
PNG-150103,88
PNG-150101,96
PNG-150310,60
PNG-150309,89
PNG-150311,11
PNG-140414,6
PNG-140415,60
PNG-140208,13
PNG-140625,73
PNG-140522,78
PNG-140311,3
PNG-140626,8
PNG-140623,35
PNG-140624,14
PNG-140520,59
PNG-140519,95
PNG-140205,92
PNG-140102,18
PNG-140310,67
PNG-140313,2
PNG-140209,9
PNG-140207,89
PNG-140521,2
PNG-140206,94
PNG-140312,27
PNG-130103,83
PNG-130101,91
PNG-130514,92
PNG-130412,36
PNG-130410,58
PNG-130411,23
PNG-130616,66
PNG-130615,99
PNG-130308,29
PNG-130206,99
PNG-130309,18
PNG-130307,79
PNG-120928,4
PNG-120926,79
PNG-120207,28
PNG-120208,97
PNG-120823,50
PNG-120310,48
PNG-120309,71
PNG-120721,15
PNG-120722,30
PNG-120720,82
PNG-120101,47
PNG-120105,41
PNG-120102,96
PNG-120824,22
PNG-120412,79
PNG-120825,85
PNG-120413,42
PNG-120206,9
PNG-120414,21
PNG-120619,15
PNG-120618,6
PNG-120617,70
PNG-110609,40
PNG-110608,85
PNG-110710,81
PNG-110304,23
PNG-010209,9
PNG-110811,65
PNG-110101,99
PNG-100307,17
PNG-100102,27
PNG-100516,91
PNG-100309,60
PNG-100618,19
PNG-100617,35
PNG-100206,49
PNG-100410,0
PNG-100308,7
PNG-100103,13
PNG-100101,28
PNG-100411,90
PNG-100514,78
PNG-100205,39
PNG-100204,8
PNG-100412,86
PNG-090101,59
PNG-090203,34
PNG-090102,19
PNG-090611,97
PNG-090407,99
PNG-090406,84
PNG-090509,82
PNG-090510,17
PNG-090508,46
PNG-090712,27
PNG-090713,71
PNG-080203,53
PNG-080411,27
PNG-080309,68
PNG-080306,11
PNG-080410,20
PNG-080205,91
PNG-080204,65
PNG-080412,87
PNG-080307,16
PNG-080308,41
PNG-080102,3
PNG-080101,97
PNG-080514,20
PNG-080513,1
PNG-070726,54
PNG-070103,15
PNG-070724,93
PNG-070725,86
PNG-070517,69
PNG-070829,56
PNG-070309,38
PNG-070310,90
PNG-070411,3
PNG-070827,86
PNG-070102,83
PNG-070830,85
PNG-070515,95
PNG-070516,76
PNG-070514,80
PNG-070828,52
PNG-070413,12
PNG-070619,77
PNG-070618,69
PNG-070621,7
PNG-070205,23
PNG-070206,74
PNG-070101,58
PNG-070104,8
PNG-070308,68
PNG-070722,10
PNG-070412,57
PNG-100619,81
PNG-100513,73
PNG-100515,25
PNG-070620,64
PNG-070207,34
PNG-010105,17
PNG-070723,95
PNG-110507,94
PNG-020210,22
PNG-020208,50
PNG-020207,91
PNG-020209,92
PNG-020102,7
PNG-020105,23
PNG-020103,36
PNG-020106,11
PNG-010102,25
PNG-010103,72
PNG-010101,21
PNG-010314,70
PNG-010312,0
PNG-010313,69
PNG-010104,42
PNG-010210,47
PNG-010208,78
PNG-010207,7
PNG-010206,73
PNG-030308,79
PNG-030411,77
PNG-030102,52
PNG-030412,71
PNG-030103,87
PNG-030101,59
PNG-030204,49
PNG-030310,78
PNG-030206,39
PNG-030205,44
PNG-030309,71
PNG-030413,65
PNG-060208,90
PNG-060207,66
PNG-060101,3
PNG-060102,8
PNG-060103,75
PNG-060205,44
PNG-060104,3
PNG-060206,50
PNG-050101,94
PNG-050103,54
PNG-050104,23
PNG-050102,98
PNG-050106,59
PNG-050208,7
PNG-050416,47
PNG-050415,11
PNG-050414,97
PNG-190104,31
PNG-190102,91
PNG-190103,67
PNG-190105,1
PNG-190211,39
PNG-190209,22
PNG-190101,73
PNG-190210,53
PNG-190208,51
PNG-190206,38
PNG-180105,20
PNG-180312,85
PNG-180314,73
PNG-180310,42
PNG-180311,34
PNG-180313,31
PNG-180103,89
PNG-180102,74
PNG-180206,88
PNG-180208,35
PNG-180209,65
PNG-180101,63
PNG-180104,86
PNG-180415,64
PNG-180417,46
PNG-180416,83
PNG-170205,71
PNG-170206,95
PNG-170102,38
PNG-170207,73
PNG-200311,71
PNG-200101,6
PNG-200207,18
PNG-200309,47
PNG-200310,71
PNG-200312,36
PNG-200102,67
PNG-050211,53
PNG-050312,90
PNG-050313,77
PNG-050209,29
PNG-050210,23
PNG-120927,78
PNG-130513,72
PNG-130102,84
PNG-140416,17
PNG-010311,12
PNG-190207,36
PNG-180418,39
PNG-180207,12
PNG-170101,14
PNG-170209,14
PNG-170208,55
PNG-200105,79
PNG-200106,29
PNG-160110,90
PNG-160104,91
PNG-160109,79
PNG-160108,82
PNG-160112,56
PNG-160111,97
PNG-160107,85
PNG-160101,8
PNG-160102,67
PNG-160103,45
PNG-200208,42
PNG-110406,42
PNG-110405,45
PNG-050105,92
PNG-050107,28
PNG-110203,31
PNG-110202,20
PNG-130204,64
PNG-130205,13
PNG-020101,3
PNG-020104,26
PNG-160105,66
PNG-160106,89
PNG-170104,78
PNG-090304,58
PNG-090305,4
PNG-140418,62
PNG-140417,1
PNG-150413,37
PNG-150415,42
PNG-030307,33
PNG-040101,6
PNG-120103,70
PNG-120104,82
PNG-200103,42
PNG-200104,46
PNG-120311,1
PNG-120515,97
PNG-120516,8
PNG-170103,97
WSM-1,26
WSM-2,22
WSM-3,74
WSM-4,56
WSM-5,25
WSM-6,33
WSM-7,41
WSM-8,29
WSM-9,49
WSM-10,44
WSM-11,93
SLB-1001,68
SLB-1002,99
SLB-1003,72
SLB-1004,95
SLB-1005,1
SLB-1006,8
SLB-1007,22
SLB-1008,99
SLB-1009,73
SLB-101,82
SLB-1010,57
SLB-1011,31
SLB-1012,3
SLB-102,42
SLB-103,74
SLB-104,69
SLB-105,26
SLB-106,32
SLB-107,37
SLB-108,82
SLB-109,80
SLB-110,31
SLB-111,40
SLB-112,47
SLB-113,29
SLB-114,67
SLB-201,91
SLB-202,35
SLB-203,27
SLB-204,43
SLB-205,73
SLB-206,26
SLB-207,1
SLB-208,84
SLB-209,41
SLB-210,55
SLB-211,88
SLB-212,71
SLB-213,67
SLB-214,32
SLB-215,85
SLB-216,88
SLB-217,92
SLB-218,72
SLB-219,71
SLB-220,94
SLB-221,36
SLB-222,77
SLB-223,23
SLB-224,4
SLB-225,28
SLB-226,98
SLB-301,7
SLB-302,80
SLB-303,77
SLB-304,22
SLB-305,26
SLB-306,57
SLB-307,82
SLB-308,51
SLB-309,38
SLB-310,26
SLB-311,83
SLB-312,15
SLB-313,62
SLB-314,98
SLB-315,98
SLB-316,86
SLB-401,31
SLB-402,31
SLB-403,32
SLB-404,65
SLB-405,48
SLB-406,75
SLB-407,65
SLB-408,53
SLB-409,23
SLB-410,76
SLB-411,55
SLB-412,23
SLB-413,17
SLB-501,46
SLB-502,4
SLB-503,23
SLB-504,15
SLB-505,7
SLB-506,20
SLB-507,21
SLB-508,77
SLB-509,5
SLB-510,79
SLB-601,23
SLB-602,7
SLB-603,82
SLB-604,15
SLB-605,9
SLB-606,51
SLB-607,61
SLB-608,66
SLB-609,49
SLB-610,100
SLB-611,0
SLB-612,84
SLB-613,48
SLB-614,54
SLB-615,62
SLB-616,51
SLB-617,48
SLB-618,13
SLB-619,60
SLB-620,55
SLB-621,82
SLB-622,53
SLB-701,9
SLB-702,19
SLB-703,26
SLB-704,6
SLB-705,25
SLB-706,32
SLB-707,22
SLB-708,1
SLB-709,22
SLB-710,30
SLB-711,31
SLB-712,48
SLB-713,96
SLB-714,62
SLB-715,98
SLB-716,21
SLB-717,88
SLB-718,75
SLB-719,18
SLB-720,79
SLB-721,39
SLB-722,30
SLB-723,96
SLB-724,32
SLB-725,83
SLB-726,93
SLB-727,88
SLB-728,10
SLB-729,77
SLB-730,10
SLB-731,39
SLB-732,59
SLB-733,29
SLB-801,66
SLB-802,83
SLB-803,52
SLB-804,98
SLB-805,59
SLB-806,98
SLB-807,42
SLB-808,47
SLB-809,88
SLB-810,10
SLB-811,5
SLB-812,39
SLB-813,86
SLB-814,80
SLB-815,28
SLB-816,86
SLB-817,67
SLB-818,91
SLB-819,80
SLB-820,82
SLB-901,64
SLB-902,97
SLB-903,73
SLB-904,67
SLB-905,1
SLB-906,34
SLB-907,98
SLB-908,52
SLB-909,43
SLB-910,45
SLB-911,38
SLB-912,85
SLB-913,97
SLB-914,47
SLB-915,60
SLB-916,69
SLB-917,51
TKL-1,24
TKL-2,21
TKL-3,54
TON-2103,64
TON-2101,15
TON-2102,22
TON-2201,5
TON-2203,14
TON-2204,38
TON-2202,9
TON-2602,65
TON-2601,11
TON-2603,36
TON-2104,22
TON-2106,56
TON-2505,98
TON-2501,35
TON-2502,88
TON-2503,75
TON-2401,63
TON-2403,40
TON-2304,68
TON-2303,9
TON-2302,19
TON-2305,92
TON-2301,88
TON-2306,89
TON-2308,68
TON-2307,19
TON-2107,34
TON-2105,15
TON-2205,5
TON-2608,83
TON-2607,72
TON-2604,90
TON-2606,15
TON-2609,65
TON-3102,50
TON-3104,28
TON-3101,97
TON-3103,79
TON-3201,97
TON-3202,18
TON-3204,48
TON-3205,38
TON-3206,48
TON-3203,97
TON-3601,24
TON-3602,57
TON-3501,53
TON-3502,73
TON-3503,13
TON-3504,68
TON-3505,58
TON-3603,79
TON-3303,64
TON-3305,51
TON-3306,1
TON-3302,76
TON-3304,85
TON-3301,46
TON-3402,33
TON-3403,79
TON-3401,3
TON-4104,57
TON-4101,8
TON-4102,49
TON-4201,67
TON-4103,4
TON-4202,14
TON-4203,53
TON-4209,37
TON-4204,39
TON-4205,11
TON-4206,67
TON-4207,5
TON-4208,42
TON-4105,2
TON-1711,38
TON-1710,66
TON-1708,65
TON-1702,10
TON-1605,72
TON-1604,40
TON-1602,48
TON-1706,44
TON-1705,59
TON-1703,53
TON-1608,75
TON-1202,65
TON-1102,19
TON-1304,42
TON-1303,99
TON-1402,5
TON-1405,38
TON-1407,99
TON-1409,63
TON-1408,60
TON-1502,90
TON-1503,2
TON-1506,91
TON-1508,37
TON-1511,61
TON-1308,67
TON-1107,69
TON-1103,64
TON-1712,16
TON-1108,63
TON-1512,50
TON-1110,56
TON-2605,54
TON-5104,23
TON-5201,88
TON-5202,12
TON-5203,34
TON-5204,56
TON-5205,17
TON-5206,62
TON-5207,40
TON-5208,72
TON-5103,99
TON-5102,71
TON-5101,24
TON-1709,17
TON-1701,74
TON-1601,3
TON-1603,83
TON-1606,57
TON-1704,11
TON-1707,33
TON-1610,5
TON-1609,27
TON-1607,29
TON-1309,72
TON-1307,45
TON-1306,16
TON-1301,40
TON-1203,62
TON-1206,81
TON-1205,74
TON-1204,40
TON-1201,87
TON-1101,4
TON-1106,41
TON-1105,71
TON-1305,56
TON-1302,71
TON-1403,86
TON-1401,98
TON-1501,83
TON-1504,39
TON-1505,72
TON-1507,24
TON-1509,56
TON-1510,40
TON-1406,29
TON-1404,5
TON-2610,63
TON-2612,32
TON-2613,59
TON-2614,73
TON-2615,60
TON-2504,90
TON-2402,49
TON-2404,23
TON-1513,16
TUV-802,93
TUV-801,39
TUV-601,4
TUV-106,91
TUV-703,39
TUV-105,83
TUV-704,80
TUV-104,43
TUV-701,33
TUV-103,82
TUV-702,13
TUV-102,41
TUV-707,98
TUV-101,8
TUV-708,33
TUV-705,8
TUV-706,92
TUV-602,50
TUV-505,71
TUV-202,54
TUV-506,85
TUV-503,57
TUV-504,99
TUV-302,58
TUV-301,13
TUV-507,26
TUV-201,19
TUV-501,29
TUV-709,22
TUV-502,70
TUV-401,43
TUV-402,84
TUV-901,9
VUT-12,87
VUT-51,63
VUT-25,21
VUT-62,76
VUT-23,92
VUT-22,97
VUT-24,70
VUT-26,96
VUT-19,82
VUT-20,35
VUT-29,32
VUT-21,47
VUT-04,38
VUT-05,32
VUT-33,78
VUT-32,36
VUT-31,34
VUT-27,60
VUT-28,54
VUT-30,25
VUT-13,82
VUT-11,94
VUT-10,48
VUT-06,50
VUT-07,92
VUT-08,51
VUT-09,45
VUT-58,37
VUT-59,32
VUT-16,18
VUT-18,68
VUT-60,37
VUT-17,63
VUT-49,93
VUT-52,51
VUT-50,89
VUT-14,91
VUT-15,12
VUT-48,71
VUT-45,27
VUT-46,67
VUT-56,97
VUT-47,95
VUT-61,12
VUT-44,17
VUT-42,93
VUT-43,40
VUT-55,90
VUT-64,16
VUT-63,90
VUT-66,37
VUT-53,94
VUT-35,67
VUT-37,36
VUT-38,33
VUT-39,49
VUT-36,74
VUT-34,15
VUT-41,70
VUT-02,0
VUT-01,19
VUT-54,11
VUT-57,45
VUT-40,87
VUT-03,12
VUT-65,70
WLF-62,43
WLF-14,41
WLF-63,95
WLF-64,90
WLF-60,13
WLF-61,89
WLF-54,43
WLF-51,54
WLF-55,11
WLF-50,27
WLF-52,35
WLF-53,25
WLF-74,21
WLF-77,83
WLF-71,9
WLF-70,84
WLF-78,29
WLF-75,34
WLF-76,84
WLF-73,81
WLF-72,45
WLF-18,45
WLF-11,6
WLF-16,64
WLF-13,31
WLF-15,42
WLF-12,43
WLF-23,17
WLF-21,33
WLF-22,85
WLF-25,35
WLF-20,97
WLF-24,39
WLF-79,51
